Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1880149,-,-,-,31.17,34.82,2,337,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,15,30,516,80,205,5.7,14,988,57.51,330,1.4,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,16,30,108,27,33,6,11.3,988,70.1,337,1.4,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,17,30,0,0,0,5,9.9,989,71.5,342,1.5,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,18,30,0,0,0,4.8,9.2,989,73.88,348,1.6,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,19,30,0,0,0,4.6,8.5,988,76.63,355,1.5,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,20,30,0,0,0,4.5,8.3,988,77.1,358,1.5,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,21,30,0,0,0,4.8,8.5,988,77.37,358,1.4,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,22,30,0,0,0,5.1,8.7,987,78.06,358,1.4,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,23,30,0,0,0,5.1,8.6,987,78.62,357,1.3,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,0,30,0,0,0,5,8.4,986,79.25,355,1.3,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,1,30,0,0,0,4.9,8.3,986,79.39,354,1.3,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,2,30,0,0,0,4.8,8.1,985,79.9,342,1.3,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,3,30,0,0,0,4.7,7.8,985,81.03,331,1.3,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,4,30,0,0,0,4.8,7.4,985,83.36,322,1.3,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,5,30,0,0,0,4.7,6.9,985,86.11,313,1.2,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
