run,1,2,3,4,5,6,7,8,9,10,11,12
AC inverter output power (W) - Hour 83,350466,350466,350466,350466,354117,354117,354117,354117,357767,357767,357767,357767
AC inverter output power (W) - Hour 84,343097,343097,343097,343097,346671,346671,346671,346671,350245,350245,350245,350245
AC inverter output power (W) - Hour 85,310551,310551,310551,310551,313785,313785,313785,313785,317020,317020,317020,317020
AC inverter output power (W) - Hour 86,242078,242078,242078,242078,244600,244600,244600,244600,247122,247122,247122,247122
AC inverter output power (W) - Hour 87,140227,140227,140227,140227,141688,141688,141688,141688,143149,143149,143149,143149
AC inverter output power (W) - Hour 88,14859.1,14859.1,14859.1,14859.1,15013.8,15013.8,15013.8,15013.8,15168.6,15168.6,15168.6,15168.6
AC inverter output power (W) - Hour 89,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 90,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 91,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 92,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 93,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 94,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 95,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 96,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 97,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 98,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 99,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 100,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 101,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 102,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 103,75480,75480,75480,75480,76266.3,76266.3,76266.3,76266.3,77052.5,77052.5,77052.5,77052.5
AC inverter output power (W) - Hour 104,196654,196654,196654,196654,198702,198702,198702,198702,200751,200751,200751,200751
AC inverter output power (W) - Hour 105,283237,283237,283237,283237,286188,286188,286188,286188,289138,289138,289138,289138
AC inverter output power (W) - Hour 106,338456,338456,338456,338456,341981,341981,341981,341981,345507,345507,345507,345507
AC inverter output power (W) - Hour 107,352013,352013,352013,352013,355679,355679,355679,355679,359346,359346,359346,359346
AC inverter output power (W) - Hour 108,210676,210676,210676,210676,212871,212871,212871,212871,215065,215065,215065,215065
AC inverter output power (W) - Hour 109,155377,155377,155377,155377,156996,156996,156996,156996,158614,158614,158614,158614
AC inverter output power (W) - Hour 110,93262.3,93262.3,93262.3,93262.3,94233.7,94233.7,94233.7,94233.7,95205.2,95205.2,95205.2,95205.2
AC inverter output power (W) - Hour 111,129883,129883,129883,129883,131236,131236,131236,131236,132589,132589,132589,132589
